19-Jun-2022,G,6,M,1400.0,R Kasichhwa
19-Jun-2022,A,12,O,1620.0,B Bhatta
19-Jun-2022,A,6,O,7020.0,M Bishawakarma
20-Jun-2022,A,6,O,7020.0,A Tiwari
20-Jun-2022,M,3,O,51237.0,J Cena
21-Jun-2022,A,12,M,1500.0,M Luffy
21-Jun-2022,G,3,M,1500.0,R San
21-Jun-2022,G,3,O,4050.0,G Huluhu
21-Jun-2022,M,1,O,1999.0,J King
21-Jun-2022,A,12,M,1500.0,M Howler
21-Jun-2022,A,12,M,1500.0,J Howler
21-Jun-2022,G,12,O,14040.0,A Tiwari
23-Jun-2022,A,12,O,1620.0,B Bhatta
02-Aug-2022,A,1,O,1800.0,J KSI
02-Aug-2022,G,12,M,1300.0,K Kun
29-Sept-2022,G,3,O,4050.0,I Suleman
